Ticker,Name
VNET,"21Vianet Group, Inc."
ACN,Accenture plc
ACXM,Acxiom Corporation
BABA,Alibaba Group Holding Limited
GOOG,Alphabet Inc
AAPL,Apple Inc
TEAM,Atlassian Corporation Plc
CACI,CACI International Inc
CDW,CDW Corporation
CHGT,"Changing Technologies, Inc."
CTG,"Computer Task Group, Incorporated"
CSPI,CSP Inc.
DMRC,Digimarc Corporation
EDGW,"Edgewater Technology, Inc."
ETEC,"Emtec, Inc."
EPAM,"EPAM Systems, Inc."
FIS,"Fidelity National Information Services, Inc."
IT,"Gartner, Inc."
GLOB,Globant S.A.
HMNY,Helios and Matheson Analytics Inc.
ICLD,"InterCloud Systems, Inc."
INAP,Internap Corporation
IBM,International Business Machines Corporation
ISDR,Issuer Direct Corporation
MNDO,MIND C.T.I. Ltd
NCR,NCR Corporation
PYPL,"PayPal Holdings, Inc"
PRFT,"Perficient, Inc."
QFOR,Quadrant 4 System Corporation
RDWR,Radware Ltd.
SABR,Sabre Corporation
SAIC,Science Applications International Corporation
NOW,"ServiceNow, Inc."
SPIN,"Spine Injury Solutions, Inc."
SYKE,"Sykes Enterprises, Incorporated"
SYNT,"Syntel, Inc."
TSLA,Tesla Inc
UIS,Unisys Corporation
VRTU,Virtusa Corporation
WYY,WidePoint Corporation
WIT,Wipro Limited
XRX,Xerox Corporation
